"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Characteristics:Назначение;Weight;Length;Width;Height;"SEO title";"SEO descr";"SEO keywords";"FB title";"FB descr";Url
771165854119;;Т030;;"Корзины;Для активного отдыха;Стильные плетеные аксессуары;Подарочные корзины;Пикниковые корзины";Классика;"Велокорзина<br />Размеры: 30х20 см, верх 40х30 см, высота 24 см.<br />";"<strong>Размеры</strong>: 30х20 см, верх 40х30 см, высота 24 см.";https://static.tildacdn.com/tild3438-3432-4233-a134-643831626662/400.JPG;2700.00;;;;;vtv9ICo6Gdls0r15Vn3A;;;0;0;0;0;;;;;;https://uralbasket.ru/baskets/tproduct/777339253-771165854119-klassika
622062820872;;Т031;;"Корзины;Для активного отдыха";Улов;"Корзина для рыбы<br />Размеры: 42х25 см, высота 25 см.<br />";"<strong>Размеры</strong>: 42х25 см, высота 25 см.";"https://static.tildacdn.com/tild3364-3838-4331-a332-633438313862/400.JPG https://static.tildacdn.com/tild6331-6335-4163-a639-303863316565/1400.JPG";2990.00;;;;;eSjGURlTO5FY8jlFGoY3;;;0;0;0;0;;;;;;https://uralbasket.ru/baskets/tproduct/777339253-622062820872-ulov
793778632772;;Т032;;"Корзины;Для активного отдыха;Пикниковые корзины;Стильные плетеные аксессуары;Подарочные корзины";Элен;"Велокорзина<br />Размеры: низ 27х18 см, верх 36х27 см, высота 24 см.<br />";"<strong>Размеры</strong>: низ 27х18 см, верх 36х27 см, высота 24 см.";"https://static.tildacdn.com/tild6436-3037-4534-a233-336164393635/2400.JPG https://static.tildacdn.com/tild6364-6331-4236-b766-313631363639/2_2400.JPG";2580.00;;;;;G7xxtPTSrYMtrk14rogr;;;0;0;0;0;;;;;;https://uralbasket.ru/baskets/tproduct/777339253-793778632772-elen
227229554866;;Т033;;"Корзины;Для активного отдыха";Рыбацкая;"Корзина для рыбы<br />Размеры: низ 33х20 см, крышка 23х15 см, высота 20 см.<br />";"<strong>Размеры</strong>: низ 33х20 см, крышка 23х15 см, высота 20 см.";"https://static.tildacdn.com/tild6231-6163-4033-b536-666465353833/400.jpg https://static.tildacdn.com/tild3366-6162-4261-a465-396137393731/2400.jpg";2990.00;;;;;UAcLFAUooH884SNvxUEa;;;0;0;0;0;;;;;;https://uralbasket.ru/baskets/tproduct/777339253-227229554866-ribatskaya
116138276388;;Т034;;"Корзины;Хозяйственные корзины;Для активного отдыха;Стильные плетеные аксессуары;Для дома и дачи";Пайва;"Наплечная корзина<br />Размеры: 43х25 см, высота 42 см.<br />Материал<span>: цельный ивовый прут.<br />Крепления - ремни.</span><br />";"<strong>Размеры</strong>: 43х25 см, высота 42 см.<br /><strong>Материал</strong><span>: цельный ивовый прут.<br />Крепления - ремни.</span>";"https://static.tildacdn.com/stor3266-3937-4165-a664-613466613937/48300370.jpg https://static.tildacdn.com/stor3732-3138-4363-b930-316136363462/26895687.jpg";6175.00;;;;;rjONYFGi8JmxJnHb7aPJ;;;0;0;0;0;;;;;;https://uralbasket.ru/baskets/tproduct/777339253-116138276388-paiva
838454887731;;P005;;"Корзины;Подарочные корзины;Стильные плетеные аксессуары";"Подарочная корзина Вивьен";"Круглая подарочная корзина с плетеным дном.<br /><br />Размеры: диаметр низа 25 см, диаметр верха 31 см. Высота 10 см, высота около ручек 14 см, высота с ручкой 33 см.<br />Материал: цельный ивовый прут.";"Круглая подарочная корзина с плетеным дном, в которую поместится всё, чем вы хотите порадовать друзей или коллегу. Идеальный вариант для подарка семейной паре или для корпоративных презентов на праздники. Легко оформить, практично и при этом необычно. Ручная работа!<br /><br /><strong>Размеры</strong>: диаметр низа 25 см, диаметр верха 31 см. Высота 10 см, высота около ручек 14 см, высота с ручкой 33 см.<br /><strong>Материал</strong>: цельный ивовый прут.<br />";"https://static.tildacdn.com/tild3666-3231-4133-b138-353664346561/photo539806870514287.jpg https://static.tildacdn.com/tild6361-3565-4435-a262-316639663566/photo539806870514287.jpg";1450.00;;;;;2oocGzVj8UVRLjiT1ldK;;;0;0;0;0;;;;;;https://uralbasket.ru/baskets/tproduct/777339253-838454887731-podarochnaya-korzina-viven
890565495238;;P006;;"Корзины;Подарочные корзины;Для активного отдыха;Стильные плетеные аксессуары;Пикниковые корзины";"Подарочная корзина Ливиньо";"Плетеное дно, изящество и объем — плюсы этой корзины. Часто выбирают для подарка учителям или коллегам.<br /><br />Размеры: дно 20х29 см, верх 28х40, высота 17 см.<br />Материал: цельный ивовый прут.";"<strong>Размеры</strong>: дно 20х29 см, верх 28х40, высота 17 см.<br /><strong>Материал</strong>: цельный ивовый прут.";"https://static.tildacdn.com/tild3336-3963-4065-a438-633635613763/-.JPG https://static.tildacdn.com/tild6533-6365-4831-b936-376263643838/--.JPG";1650.00;;;;;anJ5zexs3mznZJ0JFnsV;;;0;0;0;0;;;;;;https://uralbasket.ru/baskets/tproduct/777339253-890565495238-podarochnaya-korzina-livino
909928282796;;P007;;"Корзины;Подарочные корзины;Необычные для интерьера";"Подарочная корзина Асимметрия";"Корзинка для тех, кто хочет оригинально оформить подарок. Асимметричный край позволяет интересно закрепить декор и расположить наполнение.<br /><br />Размеры: дно 28 х18 см, высота 11-20 см, высота с ручкой 57 см.<strong></strong><strong></strong><br />Материал: цельный ивовый прут.";"Корзинка для тех, кто хочет оригинально оформить подарок. Асимметричный край позволяет интересно закрепить декор и расположить наполнение.<br /><br /><strong>Размеры</strong>: дно 28 х18 см, высота 11-20 см, высота с ручкой 57 см.<strong></strong><strong></strong><br /><strong>Материал</strong>: цельный ивовый прут.";"https://static.tildacdn.com/tild6339-3732-4666-a631-613766636634/400.JPG https://static.tildacdn.com/tild3537-3666-4632-b035-376365366632/400.JPG";1250.00;;;;;FtHG3Pga9SfrXTrdNKcS;;;0;0;0;0;;;;;;https://uralbasket.ru/baskets/tproduct/777339253-909928282796-podarochnaya-korzina-asimmetriya
360146122991;;P008;;"Корзины;Подарочные корзины";"Подарочная корзина Гармония";"Отличный вариант для тех, кто хочет подать подарок во всей его красе. Бортики разной высоты позволяют оптимально расположить подарок.<br /><br />Размеры: дно 28х18 см, высота 16,5 см, высота с ручкой 57 см.<br />Материалы: цельный ивовый прут.";"<strong>Размеры</strong>: дно 28х18 см, высота 16,5 см, высота с ручкой 57 см.<br /><strong>Материалы</strong>: цельный ивовый прут.";"https://static.tildacdn.com/tild3739-3830-4063-a366-666438636139/400.JPG https://static.tildacdn.com/tild3665-3831-4530-a364-656635616363/400.JPG";1250.00;;;;;F9Hks0eS3kYai2mcrbn5;;;0;0;0;0;;;;;;https://uralbasket.ru/baskets/tproduct/777339253-360146122991-podarochnaya-korzina-garmoniya
614357713535;;Р009;;"Корзины;Подарочные корзины;Пасхальные";"Корзина ажурная Светлица";"Круглая изящная корзинка с высоким ажурным верхом — идеальный вариант для романтичных натур.<br /><br />Размеры: диаметр дна 22 см, диаметр верха 27 см, высота 25 см.<br />Материалы: цельный ивовый прут.";"<strong>Размеры</strong>: диаметр дна 22 см, диаметр верха 27 см, высота 25 см.<br /><strong>Материалы</strong>: цельный ивовый прут.";https://static.tildacdn.com/tild3239-6430-4561-a138-653637623063/noroot.png;2290.00;;;;;5m6mnYPNIR3AKg6prECz;;;0;0;0;0;;;;;;https://uralbasket.ru/baskets/tproduct/777339253-614357713535-korzina-azhurnaya-svetlitsa
